N°;Fecha;Medida;Actores;Lugar;Demanda
111;16/06/2025;Bloqueo;Transportistas  que  cubren la ruta Pampas–Huancayo;Pampas, Tayacaja, Huancavelica;"Rechazan que la Municipalidad Provincial  de  Tayacaja  (MPT) aplique   leyes   de   transporte urbano al sector de transporte interprovincial Además, exigen la     destitución     del     actual subgerente       de       Tránsito, Transporte  y  Seguridad  de  la
MPT"
112;16/06/2025;Plantón;Trabajadores  y  pacientes del   centro   de   salud   de Chilca;Chilca, Huancayo, Junín;"Exigen al Gobierno Regional de Junín nueva infraestructura del centro de salud para brindar un
adecuado servicio"
113;16/06/2025;Plantón;"Padres de familia de la I.E. Luis   Aguilar   Romani   del
A.H. Justicia, Paz y Vida";El Tambo, Huancayo, Junín;"Exigen a la UGEL Huancayo el retiro  del  docente  acusado  de no       impartir       clases       y comportamientos       indebidos durante    la    jornada    laboral,
según denuncian"
114;16/06/2025;Vigilia;Trabajadores del Ministerio Público;"Cercado de
Lima, Lima Metropolitana";Expresan apoyo a la Fiscal de la Nación
115;17/06/2025;Marcha;Sindicatos de trabajadores del sector público;Cercado de Lima, Lima Metropolitana;Exigen el respeto de derechos laborales
116;17/06/2025;Plantón;Cuerpo       médico        del Hospital           Goyeneche, Federación              Médica Peruana;Arequipa, Arequipa;Exigen     la     destitución     del gerente  regional  de  Salud  por ineficiente      gestión,      según denuncian
117;17/06/2025;Marcha;Técnicos farmacéuticos;Cajamarca, Cajamarca;Rechazan   ley   que   dictamina que  técnicos  de  farmacia  no pueden                      dispensar medicamentos.
118;17/06/2025;Plantón;Trabajadores  de  la  UGEL Maynas;Iquitos, Maynas, Loreto;"Exigen atención a su pliego de reclamos,  equipos,  viáticos,  el pago   de   remuneraciones   y mejores   en   las   condiciones
laborales"
119;17/06/2025;Plantón;Población  local  del  sector de Pachacútec;Callao, Callao;"Exigen  justicia  tras  la  captura de  presuntos  implicados  en  el
asesinato de un mototaxista"
120;17/06/2025;Plantón;"Asociación                      de
Comerciantes    Mayoristas de Puno";Puno, Puno;"Exigen    a    la    Municipalidad Provincial de Puno una gestión más  apropiada  del  sector  de
comercio"
121;17/06/2025;Toma;Estudiantes         de         la Universidad   Nacional   de Cajamarca (UNC);Cajamarca, Cajamarca;"Exigen a la UNC la culminación de las obras de infraestructura de las facultades de Ingeniería
Civil, Hidráulica y Obstetricia"
122;17/06/2025;Concentración;Sindicato     Nacional     de Empleados   Públicos   del Ejército         del         Perú (SINEPEP)   de   la   Quinta Brigada de Montaña Cusco;Wanchaq, Cusco, Cusco;"Exigen      al      Ministerio      de
Economía     y     Finanzas     la derogatoria  de  la  Ley  n°  1666 que regula los fondos públicos destinados   a   los   salarios   y beneficios   de   los   empleados públicos,  mejores  condiciones laborales y cumplimiento de las
negociaciones colectivas"
123;17/06/2025;Plantón;Madres de familia de la I.E. n° 20346 San Lorenzo;Santa María, Huaura, Lima Provincias;"Exigen el retiro de docente del centro    educativo    debido    a presuntos  malos  tratos  contra
alumnos"
124;17/06/2025;Plantón;Sindicato  de  Trabajadores Asistenciales Minsa Ilo;Ilo, Moquegua;"Exigen el cambio del director y el administrador del Hospital de Ilo, y el inicio de la negociación colectiva.  Además,  denuncian casos         de         negligencia
administrativa      y      maltrato laboral"
125;17/06/2025;Marcha;Sindicato  de  Trabajadores del      Hospital      Regional JAMO II-2 (SUTHA-JAMO);Tumbes, Tumbes;"Exigen al Gobierno Regional de Tumbes   mejoramiento   de   la infraestructura     del     Hospital Regional de Tumbes, así como el abastecimiento de insumos y
medicamentos"
126;17/06/2025;Plantón;Población  local  del  distrito de    Iguain,    comités    de regantes de Iguain;Iguain, Huanta, Ayacucho;"Exigen    a    la    Municipalidad Distrital    de    Iguain    que    se mantenga   el   caudal   de   las aguas     de     riego     de     las comunidades campesinas de la parte   superior   de   Iguain,  se priorice  la  contratación  de  un profesional    para    dejar    sin efecto el acta suscrita  el 2019 por  funcionarios  del  gobierno edil  distrital  sobre  el  uso  del agua a comunidades del distrito de Huamanguilla, y se continúe con el proceso de delimitación
territorial."
127;17/06/2025;Concentración;"Estudiantes                       y
profesionales   de   Trabajo Social";San Miguel, Lima Metropolitana;"Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la obligación     de     contar     con
asistente  social  en  empresas con más de 100 trabajadores"
128;17/06/2025;Marcha;Junta    de    Usuarios    del Sector      Hidraúlico      de Huaura;Huacho, Huaura, Lima Provincias;"Expresan su apoyo a la actual gestión de la junta de usuarios y   rechazan   cambios   en   la
misma."
129;18/06/2025;Marcha;"Población   local   de   Ica,
colectivos       contra       la violencia a la mujer";Ica, Ica;"Exigen  justicia  ante  presunto
intento  de  feminicidio de la ex alcaldesa de Ica"
130;18/06/2025;Plantón;"Madres   de   familia   de   la
I.E.I. n° 26 Huaquirca";Huaquirca, Antabamba, Apurímac;"Exigen  la  renuncia  inmediata de   la   directora   del   plantel
debido       a       una       gestión ineficiente, según denuncian"
131;18/06/2025;Marcha;"Consorcio            Gamarra,
trabajadores                   de construcción civil";Huaraz, Huaraz, Áncash;Exigen       mayor       seguridad ciudadana
132;18/06/2025;Bloqueo;Frente  de  Defensa  de  los Intereses  de  la  Provincia de Lucanas;Puquio, Lucanas, Ayacucho;"Exigen   al   Congreso   de   la República   la   aprobación   del Proyecto de Ley n° 8282/2023- CR mediante el que se plantea la  creación  de  la  Universidad
Nacional Autónoma de Puquio"
;;;;;"(UNAPUL).  Asimismo,  exigen
la                       reorganización, implementación                       y equipamiento    del    Ministerio Público   de   la   provincia   de Lucanas;    y    la    nulidad    de autorizaciones de concesiones mineras    en    cabeceras    de cuenca.   También,   exigen   el reinicio  de  la  construcción  del Hospital de Apoyo Puquio Nivel II-2, la construcción de la UGEL Lucanas   Puquio,   entre   otras
demandas"
133;18/06/2025;Marcha;"Comité Nacional Unificado de      Lucha      del      Perú (CONULP),  Asociación  de Mujeres          Empresarias
Gamarra         –         Perú, Federación de Estudiantes de  la  Universidad  Agrario, Centro   Federado   Político UNMSM,          Movimiento Nuevo      Perú,      Partido Comunista           Peruano, Comisión Patriótica para la Defensa del Mar de Grau, Frente       Nacional       de Transportistas                   y Conductores     del     Perú, FEDIVEM   SJL,   Consejo Plurinacional                  del Tawantisuyo,
Coordinadora   Lima   Este, colectivos";Cercado de Lima, Lima Metropolitana;Rechazo a la presidenta de la República y al Congreso de la República. Asimismo, rechazan la     inseguridad     ciudadana, extorsión y asesinatos.
134;18/06/2025;Plantón;Población  local  del  distrito de Pilcomayo;Pilcomayo, Huancayo, Junín;"Exigen    a    la    Municipalidad Distrital    de    Pilcomayo    una solución     inmediata     a     la problemática  de  los  residuos
sólidos"
135;18/06/2025;Plantón;Población  local  del  distrito de            El            Tambo, Emprendedoras              de Mariscal   Castilla,   Comité de  Gestión  del  anexo  de Saños Chico;El Tambo, Huancayo, Junín;"Exigen    a    la    Municipalidad Distrital de El Tambo la firma de convenio  con  el  Ministerio  de Vivienda,      Construcción      y Saneamiento         para         el mejoramiento      del      drenaje
pluvial"
136;18/06/2025;Marcha;"Estudiantes                       y
profesionales   de   Trabajo Social";Arequipa, Arequipa;"Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la obligación     de     contar     con asistente  social  en  empresas
con más de 100 trabajadores"
137;18/06/2025;Plantón;"Estudiantes                       y
profesionales   de   Trabajo Social";Huacho, Huaura, Lima Provincias;"Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la obligación     de     contar     con
asistente  social  en  empresas con más de 100 trabajadores"
138;18/06/2025;Marcha;"Estudiantes                       y
profesionales   de   Trabajo Social";Huancayo, Huancayo, Junín;"Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la obligación     de     contar     con
asistente  social  en  empresas con más de 100 trabajadores"
139;18/06/2025;Plantón;"Estudiantes                       y
profesionales   de   Trabajo Social";Chiclayo, Chiclayo, Lambayeque;Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la
;;;;;"obligación     de     contar     con
asistente  social  en  empresas con más de 100 trabajadores"
140;18/06/2025;Concentración;"Estudiantes                       y
profesionales   de   Trabajo Social";Puno, Puno;"Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la obligación     de     contar     con asistente  social  en  empresas
con más de 100 trabajadores"
141;18/06/2025;Plantón;"Estudiantes                       y
profesionales   de   Trabajo Social";Jesús María, Lima Metropolitana;"Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la obligación     de     contar     con asistente  social  en  empresas
con más de 100 trabajadores"
142;18/06/2025;Marcha;"Docentes           de           la
Universidad          Nacional Santiago      Antúnez      de
Mayolo (UNASAM) Huaraz";Huaraz, Huaraz, Áncash;Exigen a la UNASAM mejores condiciones laborales
143;18/06/2025;Plantón;Familiares  de  pescadores desaparecidos;Piura, Piura;"Exigen al Gobierno Regional de Piura    la    búsqueda    de    los pescadores       de       Sechura
desaparecidos"
144;18/06/2025;Concentración;Asociación  Departamental de Cesantes y el Sindicato Magisterial;Piura, Piura;"Exigen     la     aprobación     del Proyecto  de  Ley  n°  4786  de pensión  proporcional  y  digna para  los  maestros  jubilados  y cesantes de la Carrera Pública
Magisterial."
145;18/06/2025;Paralización de actividades;Personal        obrero        y administrativo  del  a  obra del Hospital de Huancané;Huancané, Huancané, Puno;"Exigen el pago de salarios a la empresa     china     Gezhouba Group      Company      Limited Sucursal Perú, responsable de la     obra     del     Hospital     de
Huancané"
146;18/06/2025;Paro de 72 horas;Sindicato  de  Docentes  de la Universidad Nacional del Centro del Perú;El Tambo, Huancayo, Junín;"Exigen      al      Ministerio      de Economía y Finanzas un mayor presupuesto         para         las universidades   públicas,   pues falta    de    recursos    impacta negativamente   en   la   calidad educativa, la investigación y los servicios  que  brinda  la  casa superior   de   estudios,   según
denuncian"
147;18/06/2025;Plantón;"Profesionales                    y estudiantes  de  la  carrera
de Trabajo Social";"Huacho, Huaura, Lima
Provincias";"Rechazan el Decreto Supremo N.º 005-2025-TR debido a que
consideran que afecta su labor."
148;19/06/2025;Bloqueo;Población  local  del  distrito de Velille;Velille, Chumbivilcas, Cusco;"Exigen     a     las     autoridades nacionales    y    regionales    la ejecución      de      obras      de desarrollo    en    favor    de    la
población local."
149;19/06/2025;Plantón;Pacientes  con  cáncer  del Instituto      Regional      de Neoplásicas (IREN Centro);Huancayo, Huancayo, Junín;"Exigen al Gobierno Regional de Junín  medicinas,  movilidad  y
especialistas    para    el    IREN Centro"
150;19/06/2025;Concentración;Gremios de motociclistas;Chiclayo, Chiclayo, Lambayeque;Rechazan norma que obliga el uso  de  chalecos  reflectantes con el número de placa impreso
151;19/06/2025;Marcha rodante;Gremios de motociclistas;Andahuaylas, Apurímac;"Rechazan norma que obliga el
uso  de  chalecos  reflectantes con el número de placa impreso"
152;19/06/2025;Marcha rodante;Gremios de motociclistas;Piura, Piura;"Rechazan norma que obliga el
uso  de  chalecos  reflectantes con el número de placa impreso"
153;19/06/2025;Marcha rodante;Gremios de motociclistas;Trujillo, Trujillo, La Libertad;"Rechazan norma que obliga el
uso  de  chalecos  reflectantes con el número de placa impreso"
154;19/06/2025;Marcha rodante;Gremios de motociclistas;Ayacucho, Huamanga, Ayacucho;Rechazan norma que obliga el uso  de  chalecos  reflectantes con el número de placa impreso
155;19/06/2025;Marcha rodante;Gremios de motociclistas;Abancay, Abancay, Apurímac;Rechazan norma que obliga el uso  de  chalecos  reflectantes con el número de placa impreso
156;19/06/2025;Concentración;Gremios de motociclistas;Chimbote, Santa, Áncash;Rechazan norma que obliga el uso  de  chalecos  reflectantes con el número de placa impreso
157;19/06/2025;Marcha rodante;Gremios de motociclistas;San Isidro, Lima Metropolitana;"Rechazan norma que obliga el
uso  de  chalecos  reflectantes con el número de placa impreso"
158;19/06/2025;Marcha rodante;Gremios de motociclistas;"Chachapoyas,
Chachapoyas, Amazonas";"Rechazan norma que obliga el
uso  de  chalecos  reflectantes con el número de placa impreso"
159;19/06/2025;Concentración;Gremios de motociclistas;Tumbes, Tumbes;"Rechazan norma que obliga el uso  de  chalecos  reflectantes
con el número de placa impreso"
160;19/06/2025;Marcha rodante;Gremios de motociclistas;"Moyobamba, Moyobamba,
San Martín";"Rechazan norma que obliga el uso  de  chalecos  reflectantes
con el número de placa impreso"
161;19/06/2025;Plantón;Familiares  y  allegados  de nueve               pescadores desaparecidos;Bernal, Sechura, Piura;"Exigen    a    la    Municipalidad Distrital de Bernal y al gobierno nacional acciones de búsqueda y     rescate     de     pescadores
desaparecidos  del  distrito  de Bernal"
162;19/06/2025;Plantón;Federación                     de Conductores     de     autos colectivos de Jaén - Bagua;Jaén, Jaén, Cajamarca;Exigen       mayor       seguridad ciudadana           para           los transportistas.
163;19/06/2025;Bloqueo;Población    local    de    la provincia de Contumazá;Yonán, Contumazá, Cajamarca;Rechazan que el Ministerio de de  Desarrollo  Agrario  y  Riego entregue título habilitante de la infraestructura de Gallito Ciego
164;19/06/2025;Toma de universidad;"Estudiantes         de         la
Universidad          Nacional Federico Villarreal (UNFV)";Cercado de Lima, Lima Metropolitana;Exigen  a  la  UNFV  mejorar  el sistema de matrícula y brindar un  servicio  de  educación  de calidad a los alumnos
165;19/06/2025;Plantón;Sindicato     Nacional     de Trabajadores de Lindley;Trujillo, Trujillo, La Libertad;Exigen   solución   al   convenio colectivo
166;19/06/2025;Marcha;Población  local  del  distrito de Umari;Huánuco, Huánuco;"Exigen al Gobierno Regional de Huánuco  solución  al  conflicto por   el   recurso   hídrico   entre
población del distrito de Umari y Santa María del Valle"
167;19/06/2025;Plantón dentro de instalaciones;"Estudiantes         de         la
especialidad                   de Arquitectura de la Pontificia Universidad   Católica   del
Perú (PUCP)";San Miguel, Lima Metropolitana;"Rechazan   cancelación   de   la ""semana de maqueteo"""
168;19/06/2025;Plantón;Familiares    de    personas detenidas;Iquitos, Maynas, Loreto;"Exigen   la   liberación   de   sus familiares,   detenidos   por   el caso    de    malversación    de fondos   de   la   Municipalidad
Distrital de Pebas."
169;20/06/2025;Plantón;Sindicato     Nacional     de Trabajadores de Lindley;San Juan de Lurigancho, Lima Metropolitana;Exigen   solución   al   convenio colectivo
170;20/06/2025;Plantón;Madres de familia de la I.E. Los   Naturales   del   C.P. García Alonso;Huaral, Lima Provincias;Exigen al Gobierno Regional de Lima la atención urgente de la infraestructura      del      centro educativo
171;20/06/2025;Plantón;"Trabajadores        de        la
Municipalidad      Provincial del Santa";Santa, Áncash;"Exigen    a    la    Municipalidad
Provincial      del      Santa      el incremento de sus salarios"
172;20/06/2025;Bloqueo;Padres de familia de la I.E. Daniel Alcides Carrión;Chancay, Huaral, Lima Provincias;Exigen al Gobierno Regional de Lima  obras  de  mejora  en  la infraestructura      del      centro educativo
173;20/06/2025;Plantón;"Estudiantes         de         la
Universidad          Nacional Federico Villarreal (UNFV)";Cercado de Lima, Lima Metropolitana;"Exigen  a  la  UNFV  mejorar  el sistema de matrícula y brindar un  servicio  de  educación  de
calidad a los alumnos"
174;20/06/2025;Plantón;"Federación                     de
Trabajadores                  de Construcción      Civil      de Arequipa";Arequipa, Arequipa;"Exigen a la empresa encargada de la obra del Colegio Arequipa el   respeto   de   sus   derechos laborales.   Nota:   medida   de protesta se mantuvo hasta el 26
de junio."
175;20/06/2025;Plantón;"Padres  de  familia  del  I.E. Almirante        Grau        de Parachique       del       C.P.
Parachique";Sechura, Sechura, Piura;"Exigen    a    la    Municipalidad Provincial     de     Sechura     la continuación   de   la   obra   del
centro educativo"
176;20/06/2025;Plantón;"Sindicato      Unitario      de Trabajadores        en        la Educación       del       Perú (Sutep) región  Cajamarca,
instituciones educativas";Cajamarca, Cajamarca;"Exigen     ante     el     Gobierno Regional de Cajamarca el pago de  la  deuda  social  para  los cesantes y jubilados del sector
educativo"
177;20/06/2025;Marcha;"Federación                     de Trabajadores        de        la Industria  Manufacturera  y Servicios  Afines  del  Perú (FETRIMAP   -   CGTP)   y
bases";Jesús María, Lima Metropolitana;Exigen  ante  el  Ministerio  de Trabajo     y     Promoción     del Empleo la derogatoria de ley de ceses colectivos
178;20/06/2025;Marcha;Federación    Regional    de Rondas   Campesinas   de Cajamarca;San Ignacio, San Ignacio, Cajamarca;Rechazan      actividades      de minería  ilegal  e  informal  en  la provincia
179;20/06/2025;Marcha;"Población        local        de Requena,   CGTP,   alcalde de       la       Municipalidad
Provincial de Requena";Iquitos, Maynas, Loreto;"Exigen   al   gobierno   nacional mayor      presupuesto      para continuar  con  la  construcción
del nuevo hospital de Requena"
180;21/06/2025;Bloqueo;Población  local  del  sector de Yananaco;Ascensión, Huancavelica, Huancavelica;"Exigen  a  Provías  el  asfaltado definitivo     de     la     carretera Huancavelica  -  Santa  Inés  -
Rumichaca"
181;21/06/2025;Plantón;Población local de Comas;Comas, Lima Metropolitana;Exigen   justicia   por   maltrato animal y denuncian a presunta agresora de canes
182;21/06/2025;Marcha;"Estudiantes                       y
profesionales   de   Trabajo Social";Trujillo, Trujillo, La Libertad;"Exigen    la    derogatoria    del Decreto Supremo 005-2025-TR que   consiste   en   eliminar   la obligación     de     contar     con asistente  social  en  empresas
con más de 100 trabajadores"
183;23/06/2025;Plantón;Población         local         y comunidades   campesinas de la provincia de Castilla;Arequipa, Arequipa;"Exigen al Gobierno Regional de Arequipa el mantenimiento total de la principal vía que conecta
a  distritos  de  la  zona  media  y alta de la provincia de Castilla"
184;23/06/2025;Plantón;Población        local        de Chancay;Chancay, Huaral, Lima Provincias;"Expresan apoyo y solidaridad a comunicadora         que         se encuentra  bajo  proceso  en  el
Poder Judicial"
185;23/06/2025;Bloqueo;Población  local  del  anexo de Pachachaca;Yauli, Yauli, Junín;"Exigen  a  la  empresa  minera Volcán los pagos pendientes a la    empresa    comunal    y    la
renovación de contratos"
186;23/06/2025;Plantón;Padres de familia de la I.E. Prócer   Manuel   Calderón de la Barca;Coronel Gregorio Albarracín, Tacna, Tacna;"Rechazan ante la UGEL Tacna
el   recorte   de   personal   del centro    educativo.    Asimismo, exigen     el     comienzo     del
mantenimiento."
187;23/06/2025;Bloqueo;Trabajadores  del  Proyecto Especial       Jequetepeque Zaña (PEJEZA);Yonán, Contumazá, Cajamarca;"Rechazan  la  entrega  de  título habilitante de la infraestructura de la represa Gallito Ciego sin un causal técnico por parte del Ministerio de Desarrollo Agrario y Riego a la Junta de Usuarios
del Valle Jequetepeque"
188;23/06/2025;Plantón;Población  local,  sociedad civil;"Cercado de Lima, Lima
Metropolitana";Rechazan   restitución   de   ex Fiscal de la Nación
189;23/06/2025;Marcha;"Sindicato  de  Trabajadores Administrativos  y  Obreros de la Universidad Nacional
de Piura";Piura, Piura;Exigen     a     la     Universidad Nacional de Piura el respeto de los derechos laborales
190;23/06/2025;Marcha;Estudiantes         de         la Universidad   Nacional   de Santa;Chimbote, Santa, Áncash;"Exigen     a     la     Universidad Nacional    del    Santa    mayor calidad     de     enseñanza     y seguridad   en   las   salidas   a
campo"
191;24/06/2025;Marcha;Trabajadores  de  obra  de construcción   del   Hospital Leoncio Prado;Huamachuco, Sánchez Carrión, La Libertad;"Exigen        el        pago        de remuneraciones  a  la  empresa encargada    de    la    obra    de construcción      del      Hospital Leoncio     Prado.     Asimismo, denuncian  paralización  de  la
obra   e   inacción   del   alcalde provincial"
192;24/06/2025;Concentración;Comunidades  campesinas de la región Puno;Juliaca, San Román, Puno;"Exigen la derogatoria de la Ley N°     32293     y     el     Decreto Legislativo     N°     1620     por considerar    que    afectan    al
territorio comunal"
193;24/06/2025;Concentración;Comunidad  campesina  de Cara Cara Lampa;Juliaca, San Román, Puno;"Exigen la derogatoria de la Ley N°   32293   pues   vulnera   el derecho     a     la     propiedad
comunal, según denuncian."
194;24/06/2025;Marcha;"Federación              Agraria Revolucionaria               de Apurímac        -        FARA, comunidades   campesinas
y        comerciantes        de Abancay";Abancay, Abancay, Apurímac;Exigen la derogatoria de la Ley N°     32293     y     el     Decreto Legislativo     N°     1620     por considerar    que    afectan    al territorio comunal
195;24/06/2025;Marcha;Comunidad Campesina de Uchuchanas   -    Choco   - Castilla;Arequipa, Arequipa;"Exigen la derogatoria de la Ley N°  32293,  pues  vulnera  sus derechos        territoriales        y amenaza  la  autonomía  sobre sus  tierras  comunales,  según
denuncian."
196;24/06/2025;Plantón;Padres    de    familia    del colegio  Inicial  N.°  500  del distrito de la Victoria;La Victoria, Chiclayo, Lambayeque;"Exigen a la UGEL Lambayeque la inmediata construcción de su
institución     educativa     y     el cambio de la actual directora"
197;24/06/2025;Concentración;Movimiento       Ciudadano Frente al Cambio Climático (MOCICC),    Red    Muqui, Fomento     de     la     Vida (FOVIDA), CooperAcción;Chiclayo, Chiclayo, Lambayeque;"Exigen   al   gobierno   nacional una    agenda    nacional    que recoja       las       problemáticas regionales   y   las   alternativas que  se  están  impulsando  en torno   a   la   crisis   ambiental, climática     y     territorial,     en defensa    del    agua    y    sus
territorios."
198;24/06/2025;Toma de la universidad;Estudiantes         de         la Universidad   Nacional   del Altiplano;Puno, Puno;"Rechazan   el   incumplimiento
del  medio  pasaje  estudiantil  y demoras   en   la   entrega   de
carnets universitarios."
199;24/06/2025;Plantón;Comerciantes del Mercado de Puelles;Huánuco, Huánuco;"Denuncian   cobros   excesivos por  parte  de  la  Municipalidad Provincial de Huánuco para el uso   de   espacios   con   fines
comerciales"
200;25/06/2025;Plantón;"Trabajadores        de        la
Dirección     Regional     de Educación de Amazonas";"Chachapoyas,
Chachapoyas, Amazonas";"Exigen el cambio del director de
la     Dirección     Regional     de Educación de Amazonas."
201;25/06/2025;Plantón;Alumnas de la Universidad César Vallejo;Callao, Callao;"Exigen retiro de docente de la institución           debido           a acusaciones  de  hostigamiento
sexual"
202;25/06/2025;Concentración;"Estudiantes de la Facultad de Ciencias Sociales de la
Pontificia          Universidad Católica del Perú";San Miguel, Lima Metropolitana;Rechazan       presencia       del alcalde de la Municipalidad de Lima en la PUCP
203;25/06/2025;Plantón;Estudiantes de la Pontificia Universidad   Católica   del Perú (PUCP);San Miguel, Lima Metropolitana;Exigen a la PUCP el respeto de derechos  sociales  y  laborales de los jubilados de dicha casa de estudios
204;25/06/2025;Plantón;"Sindicatos                       de
Trabajadores  del  Hospital José    Agurto    Tello    de Chosica";Lurigancho, Lima Metropolitana;"Exigen la salida del director del departamento   de   cirugía   por presuntas  malas  gestiones  en el          abastecimiento         de medicamentos,       falta       de reactivos   médicos,   despidos
arbitrarios, entre otros."
205;25/06/2025;Plantón;Trabajadores   del   Colegio de      Alto      Rendimiento (COAR) de Chupaca;Huancayo, Junín;"Denuncian   el   incumplimiento de entrega de boletas de pago por    parte    de    la    empresa constructora encargada de una obra en el centro educativo, lo que      impide      acceder      a
beneficios    laborales,    según denuncian."
206;25/06/2025;Marcha;Rondas   Campesinas   del distrito de Huarmaca;Huarmaca, Huancabamba, Piura;Exigen al alcalde del distrito de Huarmaca  la  limpieza  de  vías carrozables,  mejoramiento  de veredas, entre otros.
207;25/06/2025;Bloqueo;Población local del caserío Piedritas;Pariñas, Talara, Piura;"Exigen  el  asfaltado  inmediato del  tramo  I  del  Proyecto  Vial Costanera             por             la contaminación        que        se generaría   por   la   polvareda,
según denuncian"
208;25/06/2025;Plantón;"Sindicato      de      Obreros
Municipales    Sullana    N° 170";Sullana, Sullana, Piura;"Exigen el respeto de derechos
laborales         y         convenios colectivos"
209;25/06/2025;Plantón;Pescadores  artesanales  y trabajadores    del    muelle privado Océano Seafood;Islay, Islay, Arequipa;"Denuncian       inacción       del Gobierno Regional de Arequipa y  al  Ministerio  de  Producción frente al riesgo que representa el estado actual del cerro Domo
La Virgen"
210;25/06/2025;Plantón;Población local del C.P. de Barraza;Trujillo, La Libertad;Exigen  la  aprobación  de  rutas de transporte que atraviesen el centro poblado
211;26/06/2025;Plantón;"Sindicato     Unificado     de Trabajadores  de  la  Única Base de la FENTUP-CGTP (Federación   Nacional   de Trabajadores       de       las
Universidades del Perú)";Ica, Ica;"Exigen      al      Ministerio      de Economía     y     Finanzas     el ""aumento   de   espacio   fiscal"" para  incremento  de  sueldos  a través     de     la     negociación
colectiva                centralizada."
;;;;;"Además,           exigen           el
otorgamiento de beneficios por Compensación  por  Tiempo  de Servicios            (CTS)            y gratificaciones   a   trabajadores
del régimen CAS"
212;26/06/2025;Concentración;"Sindicato  de  Trabajadores Administrativos      de      la
Universidad   Nacional   de Tumbes";Tumbes, Tumbes;"Exigen pase a régimen laboral 276  y  728;  así  como  mejoras
laborales y pago de beneficios sociales."
213;26/06/2025;Bloqueo;Sindicato        Único        de Trabajadores Administrativo       de       la Universidad   Nacional   de Trujillo (UNT);Trujillo, Trujillo, La Libertad;"Exigen     a     la     Universidad Nacional     de     Trujillo     una pensión        digna        y        la promulgación           de           la modificación    D.L.    N°    1666 aprobada por el Congreso de la
República"
214;26/06/2025;Marcha;"Sindicato  de  Trabajadores Municipales         Celendín, Sindicato  de  Trabajadores Municipales        de        La Encañada,    Sindicato    de Trabajadores        de        la Municipalidad Provincial de Cajamarca, Confederación General   de   Trabajadores
del Perú (CGTP)";Cajamarca, Cajamarca;Exigen       la       mejora       de condiciones       laborales       y cumplimiento    de    convenios colectivos.
215;26/06/2025;Plantón;Sindicato        Único        de Trabajadores Administrativos  del  Sector Salud Red Trujillo;Trujillo, Trujillo, La Libertad;"Exigen   la   derogatoria   de   la denominada    Ley    Servir,    el cumplimiento     del     convenio
colectivo   y   el   ""aumento   de espacio fiscal"""
216;26/06/2025;Concentración;Central Única Regional de Rondas Campesinas Puno;Puno, Puno;"Rechazan   la   Ley   n°   32293, pues    generará    despojo    de tierras      comunales,      según denuncian.  Además,  rechazan contaminación     de     Cuenca Ramis,   Cuenca   Llallimayo   y
Lago  Titicaca  a  causa  de  la actividad extractiva"
217;26/06/2025;Marcha;Confederación Nacional de Pequeña Minería y Minería Artesanal        del        Perú (Confemin);Cercado de Lima, Lima Metropolitana;Exigen     la     ampliación     del Registro          Integral          de Formalización Minera (Reinfo)
218;26/06/2025;Plantón;Padres de familia de la I.E. Guillermo Auza Arce;"Coronel Gregorio Albarracín Lanchipa,
Tacna, Tacna";Rechazan ante la UGEL Tacna el  retorno  de  la  directora  del centro educativo.
219;26/06/2025;Plantón;"Trabajadores   del   Centro Emergencia  Mujer  (CEM)
Villa Rica";"Villa Rica, Oxapampa,
Pasco";Exigen           un           aumento presupuestal
220;26/06/2025;Plantón;Trabajadoras   del   Centro Emergencia  Mujer  (CEM) Sullana;Sullana, Piura;Exigen    mejores    condiciones laborales.
221;26/06/2025;Concentración;Docentes     del     régimen laboral CAS del Colegio de Alto Rendimiento Tacna;Tacna, Tacna;Exigen           aumento          de remuneraciones,    negociación colectiva, y mejoras laborales.
222;26/06/2025;Marcha;Sindicatos de trabajadores municipales;Cercado de Lima, Lima Metropolitana;Exigen    mejores    condiciones laborales    para    trabajadores municipales del sector público
223;26/06/2025;Marcha;Sindicatos de trabajadores municipales;Chiclayo, Chiclayo, Lambayeque;"Exigen     el     incremento     de remuneraciones,    negociación colectiva justa, nombramiento a CAS, eliminación de Ley Servir,
entre otras demandas."
224;27/06/2025;Marcha;"Sindicato      Unitario      de
Trabajadores del Gobierno Regional de Ayacucho";"Ayacucho,
Huamanga, Ayacucho";"Exigen  al  gobierno  central  el
""aumento  de  espacio  fiscal""  y mejoras salariales"
225;27/06/2025;Bloqueo;Padres de familia de la I.E. Víctor   Raúl   Haya   de   la Torre;San Juan de la Virgen, Tumbes, Tumbes;Exigen al Gobierno Regional de Tumbes el mantenimiento de la infraestructura      del      centro educativo
