N°;Fecha;Medida;Actores;Lugar;Demanda
29;4/06/2025;Plantón;Familiares  de  comerciante fallecido;Tacna, Tacna;"Exigen      justicia      Ministerio Público      de      Tacna      para comerciante      fallecido      tras persecución  policial  y  que  la investigación      avance      sin
irregularidades."
30;4/06/2025;Plantón;Madres de familia de la I.E. Bellido;Rímac, Lima Metropolitana;"Rechazan   presunto   maltrato
físico de docente a uno de los estudiantes"
31;4/06/2025;Plantón;Maestros    Cesantes    del Perú (MACEP);Puno, Puno;"Exigen al Gobierno Regional de Puno    pensiones    dignas    y
justas, así como el pago de la deuda social"
32;4/06/2025;Paralización de actividades;Sindicato  de  Trabajadores de   Construcción   Civil   - Base San Juan Bautista;Belén, Maynas, Loreto;Exigen  puestos  laborales  para la obra en el frontis de la base militar de Belén.
33;5/06/2025;Plantón;Maestros     jubilados     de Junín;Huancayo, Huancayo, Junín;"Exigen     ante     el     Gobierno Regional de Junín el pago de la
deuda   social   y   aumento   de pensiones"
34;5/06/2025;Plantón;"Movimiento           Manuela
Ramos,               colectivos feministas, sociedad civil";Cercado de Lima, Lima Metropolitana;Rechazan el proyecto de ley n° 10342,  pues  elimina  el  delito del         feminicidio,         según denuncian
35;5/06/2025;Marcha;Sindicato de Obreros de la Municipalidad Provincial de Chiclayo;Chiclayo, Chiclayo, Lambayeque;"Exigen    la    derogatoria    del Decreto   Legislativo   n°   1666, pues afecta negativamente sus condiciones    laborales    y    la autonomía   de   las   entidades
públicas, según denuncian"
36;5/06/2025;Concentración;Federación                     de Trabajadores  Municipales, Sindicato      Unitario      de Trabajadores        en        la Educación       del       Perú (Sutep), Comisión de lucha contra la contaminación del río Tumbes;Tumbes, Tumbes;"Exigen      soluciones      a      la contaminación  del  río  Tumbes para  garantizar  un  derecho  al agua.  Asimismo,  respaldan  el dictamen  del  Congreso  de  la República   contra   el   Decreto Legislativo     n°     1616     que aprueba la gestión fiscal de los recursos  humanos  del  sector
público"
37;5/06/2025;Plantón;Barristas del club de fútbol Sporting Cristal;Miraflores, Lima Metropolitana;"Rechazan                 resultados deportivos  negativos  y  exigen cambios  en  la  dirigencia  del
equipo"
38;5/06/2025;Marcha;"Sindicato  de  Trabajadores Municipales de la provincia
de Islay";Mollendo, Islay, Arequipa;"Exigen    a    la    Municipalidad Provincial de Islay el respeto de
sus derechos laborales"
39;5/06/2025;Plantón;Estudiantes  de  la  carrera de Ciencias de la Salud de la   Universidad   Autónoma de Ica;Ica, Ica;"Rechazan   el   cobro    por   la realización       de       prácticas hospitalarias.  Además,  exigen
diálogo    inmediato    con    las autoridades universitarias."
40;5/06/2025;Marcha;Sindicato  de  Trabajadores Municipales de Cusco;Cusco, Cusco;"Exigen     mejoras     salariales, estabilidad          laboral          y
cumplimiento       de       pactos colectivos"
41;6/06/2025;Plantón;Población  local  del  distrito de Caraz;Caraz, Huaylas, Áncash;"Denuncian           ante           la
Municipalidad    Provincial    de Huaylas  el  envenenamiento  y"
;;;;;"desaparición  de  canes  en  la
ciudad"
42;6/06/2025;Marcha;"Federación                     de Trabajadores        de        la Industria  Manufacturera  y Servicios  Afines  del  Perú (FETRIMAP   -   CGTP)   y
bases";Jesús María, Lima Metropolitana;Exigen  el  respeto  a la libertad sindical,       la       negociación colectiva y la derogatoria de la ley de ceses colectivos.
43;6/06/2025;Concentración;"Población  local  del  sector de  Auquimarca  del  distrito
de Chilca";Huancayo, Huancayo, Junín;"Exigen    a    la    EPS    Sedam Huancayo       un       apropiado
servicio de saneamiento"
44;6/06/2025;Marcha;Población  local  del  distrito de Juliaca;Puno, Puno;"Rechazan  la  medida  cautelar emitida por juez, la cual prohíbe realizar  modificaciones  en  los terrenos     destinados     a     la construcción    del    COAR    en
Juliaca."
45;6/06/2025;Bloqueo;Padres de familia del C.P. de Quistococha del distrito de San Juan Bautista;San Juan Bautista, Maynas, Loreto;"Exigen al Gobierno Regional de Loreto  la construcción  urgente de  una  nueva  infraestructura
educativa en su localidad"
46;6/06/2025;Marcha;Padres de familia de la I.E. n°     1245     José     Carlos Mariátegui Huaycán;Ate, Lima Metropolitana;Exigen    la    construcción    del centro educativo
47;6/06/2025;Plantón;Padres de familia de la I.E. Gran      Unidad      Escolar Mariscal Luzuriaga;Independencia, Huaraz, Áncash;"Exigen al Gobierno Regional de Áncash la entrega de la última parte   del   expediente   técnico para   la   construcción   de   la nueva      infraestructura      del
plantel educativo"
48;6/06/2025;Marcha;Padres     de     familia     y estudiantes de la I.E. Juan Scarsi;Samegua, Mariscal Nieto, Moquegua;"Exigen    a    la    Municipalidad Distrital     de     Samegua     la
construcción de infraestructura del centro educativo"
49;9/06/2025;Concentración;Maestros      cesantes      y jubilados    de    la    región Lambayeque;Chiclayo, Chiclayo, Lambayeque;"Exigen   al   Congreso   de   la República   la   aprobación   del
incremento  de  pensiones  y  el pago de la deuda social"
50;9/06/2025;Marcha;Comunidad  campesina  de Jotaquite;Kishuara, Andahuaylas, Apurímac;Exigen al alcalde del distrito de Kishuara   el   cumplimiento   de promesas electorales
51;9/06/2025;Plantón;"Estudiantes  de  la  carrera de     Enfermería     de     la
Universidad  Autónoma  de Ica";Chincha, Ica;Rechazan  ante  la  Universidad Autónoma de Ica el cobro para realizar prácticas hospitalarias
